faa,name,lat,lon,alt,tz,dst,tzone
ABQ,Albuquerque International Sunport,35.0402222,-106.6091944,5355,-7,A,America/Denver
ACK,Nantucket Mem,41.253053,-70.060181,48,-5,A,America/New_York
ALB,Albany Intl,42.748267,-73.801692,285,-5,A,America/New_York
ATL,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,1026,-5,A,America/New_York
AUS,Austin Bergstrom Intl,30.194528,-97.669889,542,-6,A,America/Chicago
AVL,Asheville Regional Airport,35.436194,-82.541806,2165,-5,A,America/New_York
BDL,Bradley Intl,41.938889,-72.683222,173,-5,A,America/New_York
BGR,Bangor Intl,44.807444,-68.828139,192,-5,A,America/New_York
BHM,Birmingham Intl,33.562942,-86.75355,644,-6,A,America/Chicago
BNA,Nashville Intl,36.124472,-86.678194,599,-6,A,America/Chicago
BOS,General Edward Lawrence Logan Intl,42.364347,-71.005181,19,-5,A,America/New_York
BTV,Burlington Intl,44.471861,-73.153278,335,-5,A,America/New_York
BUF,Buffalo Niagara Intl,42.940525,-78.732167,724,-5,A,America/New_York
BUR,Bob Hope,34.200667,-118.358667,778,-8,A,America/Los_Angeles
BWI,Baltimore Washington Intl,39.175361,-76.668333,146,-5,A,America/New_York
CAE,Columbia Metropolitan,33.938833,-81.119528,236,-5,A,America/New_York
CAK,Akron Canton Regional Airport,40.9160833,-81.4421944,1228,-5,A,America/New_York
CHS,Charleston Afb Intl,32.898647,-80.040528,45,-5,A,America/New_York
CLE,Cleveland Hopkins Intl,41.411689,-81.849794,791,-5,A,America/New_York
CLT,Charlotte Douglas Intl,35.214,-80.943139,748,-5,A,America/New_York
CMH,Port Columbus Intl,39.997972,-82.891889,815,-5,A,America/New_York
CRW,Yeager,38.373147,-81.593189,981,-5,A,America/New_York
CVG,Cincinnati Northern Kentucky Intl,39.048836,-84.667822,896,-5,A,America/New_York
DAY,James M Cox Dayton Intl,39.902375,-84.219375,1009,-5,A,America/New_York
DCA,Ronald Reagan Washington Natl,38.852083,-77.037722,15,-5,A,America/New_York
DEN,Denver Intl,39.861656,-104.673178,5431,-7,A,America/Denver
DFW,Dallas Fort Worth Intl,32.896828,-97.037997,607,-6,A,America/Chicago
DSM,Des Moines Intl,41.533972,-93.663083,958,-6,A,America/Chicago
DTW,Detroit Metro Wayne Co,42.212444,-83.353389,645,-5,A,America/New_York
EGE,Eagle Co Rgnl,39.642556,-106.917694,6540,-7,A,America/Denver
EWR,Newark Liberty Intl,40.6925,-74.168667,18,-5,A,America/New_York
FLL,Fort Lauderdale Hollywood Intl,26.072583,-80.15275,9,-5,A,America/New_York
GRR,Gerald R Ford Intl,42.880833,-85.522806,794,-5,A,America/New_York
GSO,Piedmont Triad,36.09775,-79.937306,925,-5,A,America/New_York
GSP,Greenville-Spartanburg International,34.895556,-82.218889,964,-5,A,America/New_York
HNL,Honolulu Intl,21.318681,-157.922428,13,-10,N,Pacific/Honolulu
HOU,William P Hobby,29.645419,-95.278889,46,-6,A,America/Chicago
IAD,Washington Dulles Intl,38.944533,-77.455811,313,-5,A,America/New_York
IAH,George Bush Intercontinental,29.984433,-95.341442,97,-6,A,America/Chicago
ILM,Wilmington Intl,34.270615,-77.902569,32,-5,A,America/New_York
IND,Indianapolis Intl,39.717331,-86.294383,797,-5,A,America/New_York
JAX,Jacksonville Intl,30.494056,-81.687861,30,-5,A,America/New_York
JFK,John F Kennedy Intl,40.639751,-73.778925,13,-5,A,America/New_York
LAS,Mc Carran Intl,36.080056,-115.15225,2141,-8,A,America/Los_Angeles
LAX,Los Angeles Intl,33.942536,-118.408075,126,-8,A,America/Los_Angeles
LGA,La Guardia,40.777245,-73.872608,22,-5,A,America/New_York
LGB,Long Beach,33.817722,-118.151611,60,-8,A,America/Los_Angeles
MCI,Kansas City Intl,39.297606,-94.713905,1026,-6,A,America/Chicago
MCO,Orlando Intl,28.429394,-81.308994,96,-5,A,America/New_York
MDW,Chicago Midway Intl,41.785972,-87.752417,620,-6,A,America/Chicago
MEM,Memphis Intl,35.042417,-89.976667,341,-6,A,America/Chicago
MHT,Manchester Regional Airport,42.932556,-71.435667,266,-5,A,America/New_York
MIA,Miami Intl,25.79325,-80.290556,8,-5,A,America/New_York
MKE,General Mitchell Intl,42.947222,-87.896583,723,-6,A,America/Chicago
MSN,Dane Co Rgnl Truax Fld,43.139858,-89.337514,887,-6,A,America/Chicago
MSP,Minneapolis St Paul Intl,44.881956,-93.221767,841,-6,A,America/Chicago
MSY,Louis Armstrong New Orleans Intl,29.993389,-90.258028,4,-6,A,America/Chicago
MVY,Martha\\'s Vineyard,41.391667,-70.615278,67,-5,A,America/New_York
MYR,Myrtle Beach Intl,33.67975,-78.928333,25,-5,A,America/New_York
OAK,Metropolitan Oakland Intl,37.721278,-122.220722,9,-8,A,America/Los_Angeles
OMA,Eppley Afld,41.303167,-95.894069,984,-6,A,America/Chicago
ORD,Chicago Ohare Intl,41.978603,-87.904842,668,-6,A,America/Chicago
ORF,Norfolk Intl,36.894611,-76.201222,26,-5,A,America/New_York
PBI,Palm Beach Intl,26.683161,-80.095589,19,-5,A,America/New_York
PDX,Portland Intl,45.588722,-122.5975,30,-8,A,America/Los_Angeles
PHL,Philadelphia Intl,39.871944,-75.241139,36,-5,A,America/New_York
PHX,Phoenix Sky Harbor Intl,33.434278,-112.011583,1135,-7,N,America/Phoenix
PIT,Pittsburgh Intl,40.491467,-80.232872,1204,-5,A,America/New_York
PVD,Theodore Francis Green State,41.732581,-71.420383,55,-5,A,America/New_York
PWM,Portland Intl Jetport,43.646161,-70.309281,77,-5,A,America/New_York
RDU,Raleigh Durham Intl,35.877639,-78.787472,435,-5,A,America/New_York
RIC,Richmond Intl,37.505167,-77.319667,167,-5,A,America/New_York
ROC,Greater Rochester Intl,43.118866,-77.672389,559,-5,A,America/New_York
RSW,Southwest Florida Intl,26.536167,-81.755167,30,-5,A,America/New_York
SAN,San Diego Intl,32.733556,-117.189667,17,-8,A,America/Los_Angeles
SAT,San Antonio Intl,29.533694,-98.469778,809,-6,A,America/Chicago
SAV,Savannah Hilton Head Intl,32.127583,-81.202139,51,-5,A,America/New_York
SDF,Louisville International Airport,38.1740858,-85.7364989,501,-5,A,America/New_York
SEA,Seattle Tacoma Intl,47.449,-122.309306,433,-8,A,America/Los_Angeles
SFO,San Francisco Intl,37.618972,-122.374889,13,-8,A,America/Los_Angeles
SJC,Norman Y Mineta San Jose Intl,37.3626,-121.929022,62,-8,A,America/Los_Angeles
SLC,Salt Lake City Intl,40.788389,-111.977772,4227,-7,A,America/Denver
SMF,Sacramento Intl,38.695417,-121.590778,27,-8,A,America/Los_Angeles
SNA,John Wayne Arpt Orange Co,33.675667,-117.868222,56,-8,A,America/Los_Angeles
SRQ,Sarasota Bradenton Intl,27.395444,-82.554389,30,-5,A,America/New_York
STL,Lambert St Louis Intl,38.748697,-90.370028,618,-6,A,America/Chicago
SYR,Syracuse Hancock Intl,43.111187,-76.106311,421,-5,A,America/New_York
TPA,Tampa Intl,27.975472,-82.53325,26,-5,A,America/New_York
TUL,Tulsa Intl,36.198389,-95.888111,677,-6,A,America/Chicago
TVC,Cherry Capital Airport,44.741445,-85.582235,624,-5,A,America/New_York
TYS,Mc Ghee Tyson,35.810972,-83.994028,981,-5,A,America/New_York
XNA,NW Arkansas Regional,36.2818694,-94.3068111,1287,-6,A,America/Chicago
