year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,906.0,843,23.0,1134.0,1125,9.0,UA,1643,N17139,EWR,DEN,246.0,1605,8,43,2013-01-01 13:00:00+00:00
2013,1,1,1314.0,1315,-1.0,1507.0,1505,2.0,US,1615,N177US,EWR,CLT,95.0,529,13,15,2013-01-01 18:00:00+00:00
2013,1,1,1431.0,1429,2.0,1727.0,1722,5.0,B6,1161,N562JB,LGA,PBI,151.0,1035,14,29,2013-01-01 19:00:00+00:00
2013,1,1,1440.0,1440,0.0,1658.0,1643,15.0,DL,1231,N926DL,LGA,DTW,94.0,502,14,40,2013-01-01 19:00:00+00:00
2013,1,1,1600.0,1610,-10.0,1712.0,1729,-17.0,9E,4088,N8968E,JFK,PHL,35.0,94,16,10,2013-01-01 21:00:00+00:00
2013,1,1,1639.0,1517,82.0,1815.0,1639,96.0,EV,4580,N16561,EWR,MKE,140.0,725,15,17,2013-01-01 20:00:00+00:00
2013,1,1,1640.0,1640,0.0,1859.0,1850,9.0,MQ,4540,N723MQ,LGA,DTW,106.0,502,16,40,2013-01-01 21:00:00+00:00
2013,1,1,2040.0,2040,0.0,2317.0,2314,3.0,B6,619,N184JB,JFK,JAX,131.0,828,20,40,2013-01-02 01:00:00+00:00
2013,1,2,834.0,800,34.0,1226.0,1145,41.0,WN,2392,N923WN,EWR,PHX,331.0,2133,8,0,2013-01-02 13:00:00+00:00
2013,1,2,928.0,905,23.0,1331.0,1229,62.0,B6,1061,N184JB,JFK,AUS,251.0,1521,9,5,2013-01-02 14:00:00+00:00
2013,1,2,1456.0,1500,-4.0,1607.0,1620,-13.0,US,2179,N957UW,LGA,DCA,53.0,214,15,0,2013-01-02 20:00:00+00:00
2013,1,2,1633.0,1550,43.0,1854.0,1807,47.0,EV,3843,N14972,EWR,SDF,121.0,642,15,50,2013-01-02 20:00:00+00:00
