tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N10156,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N102UW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan
N10575,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N110UW,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan
N11106,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11113,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11155,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11165,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11176,2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11181,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11187,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11189,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11191,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11192,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11194,2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11199,2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N11539,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N11544,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N11547,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N11548,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N11551,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N11565,2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N118US,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,,Turbo-fan
N12114,1995.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N12116,1996.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N12122,2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
