origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013,1,1,8,39.92,28.04,62.21,250.0,10.35702,,0.0,1012.2,10.0,2013-01-01 13:00:00+00:00
EWR,2013,1,1,13,39.2,28.4,69.67,330.0,16.11092,,0.0,,10.0,2013-01-01 18:00:00+00:00
EWR,2013,1,1,15,37.94,24.08,57.04,290.0,9.20624,,0.0,1011.9,10.0,2013-01-01 20:00:00+00:00
EWR,2013,1,2,8,24.98,10.04,52.5,280.0,9.20624,,0.0,1018.5,10.0,2013-01-02 13:00:00+00:00
EWR,2013,1,2,15,33.98,12.02,39.72,310.0,13.809359999999998,20.71404,0.0,1018.5,10.0,2013-01-02 20:00:00+00:00
EWR,2013,1,2,19,30.92,14.0,49.01,290.0,6.904679999999999,,0.0,1020.4,10.0,2013-01-03 00:00:00+00:00
EWR,2013,1,3,6,26.06,15.98,65.21,310.0,6.904679999999999,,0.0,1022.4,10.0,2013-01-03 11:00:00+00:00
EWR,2013,1,3,12,33.08,12.92,42.84,260.0,8.05546,,0.0,1019.8,10.0,2013-01-03 17:00:00+00:00
EWR,2013,1,3,13,33.98,12.92,41.33,260.0,9.20624,,0.0,1019.1,10.0,2013-01-03 18:00:00+00:00
EWR,2013,1,3,17,30.02,15.08,53.29,240.0,9.20624,,0.0,1019.3,10.0,2013-01-03 22:00:00+00:00
EWR,2013,1,4,6,33.08,21.02,60.81,230.0,16.11092,,0.0,1018.7,10.0,2013-01-04 11:00:00+00:00
EWR,2013,1,4,13,37.94,19.04,46.09,250.0,24.16638,31.07106,0.0,1015.1,10.0,2013-01-04 18:00:00+00:00
EWR,2013,1,5,15,42.98,19.04,37.9,310.0,8.05546,,0.0,1024.1,10.0,2013-01-05 20:00:00+00:00
EWR,2013,1,6,17,44.06,26.06,48.87,270.0,8.05546,,0.0,1016.0,10.0,2013-01-06 22:00:00+00:00
EWR,2013,1,7,7,37.94,28.94,69.73,250.0,8.05546,,0.0,1024.1,10.0,2013-01-07 12:00:00+00:00
EWR,2013,1,7,12,46.94,21.92,36.85,300.0,14.96014,24.16638,0.0,1026.9,10.0,2013-01-07 17:00:00+00:00
EWR,2013,1,7,18,41.0,19.04,40.9,310.0,4.60312,,0.0,1029.3,10.0,2013-01-07 23:00:00+00:00
EWR,2013,1,8,5,28.94,24.08,81.8,210.0,4.60312,,0.0,1028.9,10.0,2013-01-08 10:00:00+00:00
EWR,2013,1,8,15,48.92,28.04,44.14,240.0,11.5078,,0.0,1027.7,10.0,2013-01-08 20:00:00+00:00
EWR,2013,1,9,12,46.04,33.98,62.56,200.0,9.20624,,0.0,1024.1,9.0,2013-01-09 17:00:00+00:00
EWR,2013,1,9,16,50.0,37.04,60.89,240.0,11.5078,20.71404,0.0,1021.0,10.0,2013-01-09 21:00:00+00:00
EWR,2013,1,9,17,48.92,37.04,63.39,240.0,12.65858,,0.0,1021.7,10.0,2013-01-09 22:00:00+00:00
EWR,2013,1,9,20,44.96,37.04,73.59,230.0,11.5078,,0.0,1022.5,10.0,2013-01-10 01:00:00+00:00
EWR,2013,1,10,7,41.0,24.98,52.56,330.0,6.904679999999999,,0.0,1031.4,10.0,2013-01-10 12:00:00+00:00
EWR,2013,1,10,13,50.0,21.92,32.86,310.0,12.65858,18.41248,0.0,1031.5,10.0,2013-01-10 18:00:00+00:00
EWR,2013,1,10,14,50.0,21.92,32.86,300.0,11.5078,19.56326,0.0,1031.9,10.0,2013-01-10 19:00:00+00:00
EWR,2013,1,11,6,37.94,24.98,59.22,0.0,0.0,,0.0,1031.8,10.0,2013-01-11 11:00:00+00:00
EWR,2013,1,11,7,39.02,26.06,59.37,0.0,0.0,,0.0,1031.9,10.0,2013-01-11 12:00:00+00:00
EWR,2013,1,12,17,46.94,44.96,92.78,30.0,6.904679999999999,,0.0,1021.7,2.5,2013-01-12 22:00:00+00:00
EWR,2013,1,13,15,46.94,44.6,93.4,120.0,5.7539,,0.0,,3.0,2013-01-13 20:00:00+00:00
EWR,2013,1,14,13,57.02,44.06,61.81,320.0,10.35702,17.261699999999998,0.0,1019.0,10.0,2013-01-14 18:00:00+00:00
EWR,2013,1,14,14,55.94,37.94,50.72,340.0,12.65858,20.71404,0.0,1020.0,10.0,2013-01-14 19:00:00+00:00
EWR,2013,1,14,15,55.04,39.02,54.67,350.0,13.809359999999998,,0.0,1020.8,10.0,2013-01-14 20:00:00+00:00
EWR,2013,1,14,18,51.08,30.02,44.16,330.0,11.5078,18.41248,0.0,1022.4,10.0,2013-01-14 23:00:00+00:00
EWR,2013,1,15,8,37.04,28.04,69.63,10.0,12.65858,,0.0,1027.4,10.0,2013-01-15 13:00:00+00:00
EWR,2013,1,16,6,33.8,32.0,95.75,10.0,6.904679999999999,,0.06,,4.0,2013-01-16 11:00:00+00:00
EWR,2013,1,16,10,33.98,32.0,92.36,350.0,5.7539,,0.01,1015.5,3.0,2013-01-16 15:00:00+00:00
EWR,2013,1,16,13,35.06,33.08,92.4,70.0,5.7539,,0.01,1009.0,3.0,2013-01-16 18:00:00+00:00
EWR,2013,1,17,8,39.02,28.04,64.43,280.0,8.05546,,0.0,1017.9,10.0,2013-01-17 13:00:00+00:00
EWR,2013,1,17,17,41.0,24.98,52.56,360.0,6.904679999999999,,0.0,1018.4,10.0,2013-01-17 22:00:00+00:00
EWR,2013,1,18,6,28.94,15.08,55.69,350.0,12.65858,,0.0,1024.3,10.0,2013-01-18 11:00:00+00:00
EWR,2013,1,19,6,30.92,21.02,66.34,210.0,10.35702,,0.0,1026.3,10.0,2013-01-19 11:00:00+00:00
EWR,2013,1,19,7,32.0,21.92,65.97,230.0,13.809359999999998,,0.0,1026.0,10.0,2013-01-19 12:00:00+00:00
EWR,2013,1,19,16,50.0,26.06,39.07,200.0,12.65858,,0.0,1017.6,10.0,2013-01-19 21:00:00+00:00
EWR,2013,1,19,18,46.94,26.96,45.48,200.0,14.96014,23.0156,0.0,1017.2,10.0,2013-01-19 23:00:00+00:00
EWR,2013,1,20,8,44.96,28.04,51.24,230.0,11.5078,,0.0,1007.6,10.0,2013-01-20 13:00:00+00:00
EWR,2013,1,20,12,55.94,24.08,28.93,260.0,20.71404,39.12652,0.0,1005.5,10.0,2013-01-20 17:00:00+00:00
EWR,2013,1,20,17,44.06,10.04,24.53,280.0,19.56326,34.523399999999995,0.0,1011.5,10.0,2013-01-20 22:00:00+00:00
EWR,2013,1,20,19,39.02,12.02,32.55,300.0,14.96014,23.0156,0.0,1014.0,10.0,2013-01-21 00:00:00+00:00
EWR,2013,1,21,7,26.06,8.96,47.82,270.0,3.4523399999999995,,0.0,1019.0,10.0,2013-01-21 12:00:00+00:00
EWR,2013,1,22,6,19.94,5.0,51.68,280.0,13.809359999999998,,0.0,1015.4,10.0,2013-01-22 11:00:00+00:00
EWR,2013,1,22,12,23.0,-7.06,25.71,270.0,25.31716,33.37262,0.0,1016.8,10.0,2013-01-22 17:00:00+00:00
EWR,2013,1,23,6,10.94,-4.0,50.19,270.0,11.5078,,0.0,1024.0,10.0,2013-01-23 11:00:00+00:00
EWR,2013,1,23,7,12.02,-2.92,50.37,270.0,11.5078,,0.0,1024.2,10.0,2013-01-23 12:00:00+00:00
EWR,2013,1,24,11,23.0,-9.04,23.34,320.0,23.0156,32.22184,0.0,1024.0,10.0,2013-01-24 16:00:00+00:00
EWR,2013,1,26,7,17.06,8.06,67.21,300.0,6.904679999999999,,0.0,1020.6,10.0,2013-01-26 12:00:00+00:00
EWR,2013,1,26,8,19.04,8.06,61.72,310.0,10.35702,,0.0,1021.0,10.0,2013-01-26 13:00:00+00:00
EWR,2013,1,26,16,26.96,6.08,40.45,300.0,14.96014,21.86482,0.0,1022.2,10.0,2013-01-26 21:00:00+00:00
EWR,2013,1,27,6,17.06,8.06,67.21,240.0,4.60312,,0.17,1031.6,10.0,2013-01-27 11:00:00+00:00
EWR,2013,1,27,9,26.96,12.92,54.95,310.0,11.5078,,0.0,1033.2,10.0,2013-01-27 14:00:00+00:00
EWR,2013,1,27,10,30.02,10.04,42.66,310.0,12.65858,,0.0,1033.7,10.0,2013-01-27 15:00:00+00:00
EWR,2013,1,28,7,30.02,19.04,63.24,160.0,4.60312,,0.0,1029.6,7.0,2013-01-28 12:00:00+00:00
EWR,2013,1,28,19,33.98,33.08,96.46,230.0,6.904679999999999,,0.0,1017.8,5.0,2013-01-29 00:00:00+00:00
EWR,2013,1,29,18,42.98,39.92,88.85,,4.60312,,0.04,1020.2,4.0,2013-01-29 23:00:00+00:00
EWR,2013,1,31,7,48.2,35.6,61.52,260.0,31.07106,37.97574,0.01,,10.0,2013-01-31 12:00:00+00:00
EWR,2013,1,31,11,46.04,19.04,33.73,280.0,33.37262,43.72964,0.0,996.3,10.0,2013-01-31 16:00:00+00:00
EWR,2013,1,31,14,44.06,17.96,34.72,260.0,27.61872,42.57886,0.0,999.1,10.0,2013-01-31 19:00:00+00:00
EWR,2013,2,1,11,32.0,5.0,31.35,330.0,25.31716,32.22184,0.0,1011.8,10.0,2013-02-01 16:00:00+00:00
EWR,2013,2,1,14,33.08,1.94,26.07,300.0,14.96014,33.37262,0.0,1013.8,10.0,2013-02-01 19:00:00+00:00
EWR,2013,2,1,15,30.92,6.08,34.4,310.0,19.56326,,0.0,1015.4,10.0,2013-02-01 20:00:00+00:00
EWR,2013,2,1,17,26.96,15.98,62.83,280.0,18.41248,26.46794,0.0,1018.6,10.0,2013-02-01 22:00:00+00:00
EWR,2013,2,1,18,26.06,15.08,62.7,260.0,13.809359999999998,,0.0,1020.0,10.0,2013-02-01 23:00:00+00:00
EWR,2013,2,2,9,24.08,6.08,45.59,260.0,6.904679999999999,,0.0,1025.7,10.0,2013-02-02 14:00:00+00:00
EWR,2013,2,3,10,26.96,21.02,78.0,20.0,6.904679999999999,,0.0,1013.3,10.0,2013-02-03 15:00:00+00:00
EWR,2013,2,3,14,32.0,19.04,58.37,310.0,8.05546,,0.0,1009.3,10.0,2013-02-03 19:00:00+00:00
EWR,2013,2,3,18,28.94,17.06,60.69,260.0,6.904679999999999,,0.0,1009.7,10.0,2013-02-03 23:00:00+00:00
EWR,2013,2,5,8,28.04,24.08,84.87,20.0,9.20624,,0.0,1014.6,6.0,2013-02-05 13:00:00+00:00
EWR,2013,2,5,14,30.92,26.06,81.95,10.0,6.904679999999999,,0.0,1012.9,7.0,2013-02-05 19:00:00+00:00
EWR,2013,2,5,15,30.92,26.06,81.95,50.0,3.4523399999999995,,0.0,1012.9,5.0,2013-02-05 20:00:00+00:00
EWR,2013,2,5,20,30.92,28.4,92.92,360.0,5.7539,,0.01,,3.0,2013-02-06 01:00:00+00:00
EWR,2013,2,6,14,41.0,17.96,39.05,290.0,16.11092,21.86482,0.0,1020.1,10.0,2013-02-06 19:00:00+00:00
EWR,2013,2,6,17,37.04,14.0,38.38,310.0,10.35702,18.41248,0.0,1023.2,10.0,2013-02-06 22:00:00+00:00
EWR,2013,2,6,18,35.96,12.92,38.2,320.0,11.5078,,0.0,1024.5,10.0,2013-02-06 23:00:00+00:00
EWR,2013,2,9,8,26.96,17.96,68.44,310.0,18.41248,27.61872,0.0,1014.1,10.0,2013-02-09 13:00:00+00:00
EWR,2013,2,9,18,28.04,8.06,42.32,320.0,10.35702,19.56326,0.0,1022.8,10.0,2013-02-09 23:00:00+00:00
EWR,2013,2,10,21,30.92,21.02,66.34,160.0,3.4523399999999995,,0.0,1028.2,10.0,2013-02-11 02:00:00+00:00
EWR,2013,2,12,8,42.08,26.6,60.29,250.0,17.261699999999998,,0.0,,10.0,2013-02-12 13:00:00+00:00
EWR,2013,2,12,14,44.96,26.06,47.23,280.0,17.261699999999998,24.16638,0.0,1011.9,10.0,2013-02-12 19:00:00+00:00
EWR,2013,2,13,6,30.02,23.0,74.81,240.0,3.4523399999999995,,0.0,1013.2,10.0,2013-02-13 11:00:00+00:00
EWR,2013,2,13,11,42.08,24.08,48.56,,4.60312,,0.0,1011.6,10.0,2013-02-13 16:00:00+00:00
EWR,2013,2,13,18,51.98,28.04,39.4,0.0,0.0,,0.0,1006.1,10.0,2013-02-13 23:00:00+00:00
EWR,2013,2,14,6,32.36,30.02,90.97,290.0,5.7539,,0.0,1011.5,10.0,2013-02-14 11:00:00+00:00
EWR,2013,2,14,7,35.06,31.1,85.31,290.0,6.904679999999999,,0.0,1013.0,10.0,2013-02-14 12:00:00+00:00
EWR,2013,2,14,12,44.96,24.98,45.15,220.0,5.7539,,0.0,1013.7,10.0,2013-02-14 17:00:00+00:00
EWR,2013,2,14,14,46.94,21.02,35.47,250.0,12.65858,,0.0,1013.6,10.0,2013-02-14 19:00:00+00:00
EWR,2013,2,14,16,44.96,21.92,39.72,240.0,11.5078,,0.0,1014.6,10.0,2013-02-14 21:00:00+00:00
EWR,2013,2,15,10,46.04,32.0,57.78,230.0,10.35702,,0.0,1016.4,9.0,2013-02-15 15:00:00+00:00
EWR,2013,2,15,13,55.94,30.92,38.34,210.0,13.809359999999998,19.56326,0.0,1013.6,10.0,2013-02-15 18:00:00+00:00
EWR,2013,2,15,15,53.06,35.06,50.28,100.0,4.60312,,0.0,1013.0,10.0,2013-02-15 20:00:00+00:00
EWR,2013,2,16,9,35.96,30.02,78.79,360.0,12.65858,,0.0,1014.0,10.0,2013-02-16 14:00:00+00:00
EWR,2013,2,16,12,39.02,26.96,61.63,360.0,8.05546,18.41248,0.0,1012.5,10.0,2013-02-16 17:00:00+00:00
EWR,2013,2,16,15,37.94,21.02,50.14,330.0,11.5078,,0.0,1011.2,10.0,2013-02-16 20:00:00+00:00
EWR,2013,2,16,18,35.96,17.96,47.57,320.0,12.65858,,0.0,1010.2,10.0,2013-02-16 23:00:00+00:00
EWR,2013,2,17,13,33.08,1.04,25.0,310.0,27.61872,40.2773,0.0,1006.9,10.0,2013-02-17 18:00:00+00:00
EWR,2013,2,18,6,17.06,1.94,50.79,310.0,14.96014,23.0156,0.0,1022.4,10.0,2013-02-18 11:00:00+00:00
EWR,2013,2,18,7,19.04,1.94,46.64,300.0,10.35702,19.56326,0.0,1023.2,10.0,2013-02-18 12:00:00+00:00
EWR,2013,2,18,17,33.98,6.08,30.42,250.0,9.20624,,0.0,1022.7,10.0,2013-02-18 22:00:00+00:00
EWR,2013,2,19,6,33.08,19.94,58.08,140.0,4.60312,,0.0,1018.0,10.0,2013-02-19 11:00:00+00:00
EWR,2013,2,19,13,44.06,37.94,78.91,190.0,8.05546,,0.05,1011.1,8.0,2013-02-19 18:00:00+00:00
EWR,2013,2,20,19,28.04,12.02,50.52,290.0,19.56326,27.61872,0.0,1014.6,10.0,2013-02-21 00:00:00+00:00
EWR,2013,2,20,21,26.96,8.96,46.08,290.0,14.96014,,0.0,1014.8,10.0,2013-02-21 02:00:00+00:00
EWR,2013,2,21,18,28.94,12.02,48.69,320.0,17.261699999999998,21.86482,0.0,1020.9,10.0,2013-02-21 23:00:00+00:00
EWR,2013,2,22,15,37.04,24.98,61.35,170.0,8.05546,,0.0,1026.6,10.0,2013-02-22 20:00:00+00:00
EWR,2013,2,23,15,42.08,42.08,100.0,30.0,6.904679999999999,,0.06,1014.3,0.25,2013-02-23 20:00:00+00:00
EWR,2013,2,24,10,44.96,37.4,81.07,340.0,11.5078,,0.0,,10.0,2013-02-24 15:00:00+00:00
EWR,2013,2,24,19,35.96,21.02,54.21,310.0,18.41248,27.61872,0.0,1013.5,10.0,2013-02-25 00:00:00+00:00
EWR,2013,2,25,12,44.06,24.08,45.01,330.0,6.904679999999999,17.261699999999998,0.0,1020.9,10.0,2013-02-25 17:00:00+00:00
EWR,2013,2,25,16,42.98,24.98,48.7,310.0,10.35702,,0.0,1021.1,10.0,2013-02-25 21:00:00+00:00
EWR,2013,2,26,6,32.0,26.96,81.42,20.0,9.20624,,0.0,1024.0,10.0,2013-02-26 11:00:00+00:00
EWR,2013,2,27,8,42.98,42.8,100.0,30.0,13.809359999999998,,0.11,,1.0,2013-02-27 13:00:00+00:00
EWR,2013,2,28,6,42.08,35.96,78.74,240.0,5.7539,,0.0,1002.7,10.0,2013-02-28 11:00:00+00:00
EWR,2013,2,28,8,44.06,35.96,72.98,250.0,5.7539,,0.0,1003.3,10.0,2013-02-28 13:00:00+00:00
EWR,2013,2,28,10,48.02,33.98,58.07,0.0,0.0,,0.0,1002.1,10.0,2013-02-28 15:00:00+00:00
EWR,2013,2,28,15,46.04,30.02,53.33,290.0,13.809359999999998,,0.0,1000.8,10.0,2013-02-28 20:00:00+00:00
EWR,2013,3,3,8,32.0,17.06,53.6,310.0,13.809359999999998,,0.0,1007.4,10.0,2013-03-03 13:00:00+00:00
EWR,2013,3,3,16,37.94,17.96,44.0,320.0,17.261699999999998,28.7695,0.0,1005.3,10.0,2013-03-03 21:00:00+00:00
EWR,2013,3,4,8,33.08,17.06,51.33,310.0,18.41248,27.61872,0.0,1009.7,10.0,2013-03-04 13:00:00+00:00
EWR,2013,3,4,12,42.08,17.96,37.46,310.0,24.16638,31.07106,0.0,1008.7,10.0,2013-03-04 17:00:00+00:00
EWR,2013,3,4,16,41.0,17.06,37.57,320.0,19.56326,27.61872,0.0,1009.2,10.0,2013-03-04 21:00:00+00:00
EWR,2013,3,5,6,32.0,21.02,63.51,310.0,9.20624,,0.0,1015.9,10.0,2013-03-05 11:00:00+00:00
EWR,2013,3,5,11,44.96,24.08,43.49,320.0,11.5078,,0.0,1015.7,10.0,2013-03-05 16:00:00+00:00
EWR,2013,3,5,13,46.04,24.08,41.74,,3.4523399999999995,,0.0,1015.1,10.0,2013-03-05 18:00:00+00:00
EWR,2013,3,6,7,39.92,32.0,73.08,60.0,20.71404,32.22184,0.0,1012.3,10.0,2013-03-06 12:00:00+00:00
EWR,2013,3,6,8,39.92,33.08,76.32,50.0,18.41248,29.92028,0.0,1012.4,10.0,2013-03-06 13:00:00+00:00
EWR,2013,3,6,10,41.0,33.98,75.88,50.0,21.86482,32.22184,0.0,1011.5,10.0,2013-03-06 15:00:00+00:00
EWR,2013,3,7,17,37.04,33.08,85.43,340.0,18.41248,24.16638,0.02,1018.5,7.0,2013-03-07 22:00:00+00:00
EWR,2013,3,7,20,35.06,32.0,88.47,340.0,16.11092,,0.0,1018.6,6.0,2013-03-08 01:00:00+00:00
EWR,2013,3,8,7,32.0,30.02,92.29,330.0,16.11092,,0.06,1016.7,0.5,2013-03-08 12:00:00+00:00
EWR,2013,3,8,8,32.0,30.2,100.0,340.0,18.41248,,0.07,,0.75,2013-03-08 13:00:00+00:00
EWR,2013,3,9,15,55.94,19.04,23.37,10.0,6.904679999999999,,0.0,1023.7,10.0,2013-03-09 20:00:00+00:00
EWR,2013,3,10,12,42.98,33.98,70.3,180.0,6.904679999999999,,0.0,1028.4,10.0,2013-03-10 16:00:00+00:00
EWR,2013,3,10,19,39.02,33.08,79.05,140.0,6.904679999999999,,0.0,1027.1,10.0,2013-03-10 23:00:00+00:00
EWR,2013,3,12,19,53.96,44.96,71.49,310.0,13.809359999999998,23.0156,0.0,1008.0,10.0,2013-03-12 23:00:00+00:00
EWR,2013,3,13,16,50.0,21.02,31.63,260.0,16.11092,21.86482,0.0,1009.2,10.0,2013-03-13 20:00:00+00:00
EWR,2013,3,14,6,30.92,12.02,44.92,270.0,17.261699999999998,,0.0,1013.0,10.0,2013-03-14 10:00:00+00:00
EWR,2013,3,14,16,42.98,6.08,21.38,300.0,25.31716,34.523399999999995,0.0,1010.8,10.0,2013-03-14 20:00:00+00:00
EWR,2013,3,14,21,35.96,3.92,25.47,300.0,19.56326,31.07106,0.0,1013.5,10.0,2013-03-15 01:00:00+00:00
EWR,2013,3,15,6,30.02,12.02,46.59,280.0,12.65858,,0.0,1015.1,10.0,2013-03-15 10:00:00+00:00
EWR,2013,3,15,12,42.08,17.96,37.46,250.0,17.261699999999998,24.16638,0.0,1011.0,10.0,2013-03-15 16:00:00+00:00
EWR,2013,3,15,19,48.02,24.98,40.22,280.0,6.904679999999999,,0.0,1006.9,10.0,2013-03-15 23:00:00+00:00
EWR,2013,3,16,6,35.96,19.04,49.83,340.0,9.20624,,0.0,1010.7,10.0,2013-03-16 10:00:00+00:00
EWR,2013,3,16,10,37.04,19.04,47.75,20.0,5.7539,,0.0,1010.8,10.0,2013-03-16 14:00:00+00:00
EWR,2013,3,16,13,35.96,26.96,69.51,,4.60312,,0.0,,2.0,2013-03-16 17:00:00+00:00
EWR,2013,3,16,16,35.6,30.92,88.42,50.0,5.7539,,0.0,,2.5,2013-03-16 20:00:00+00:00
EWR,2013,3,16,17,33.98,30.92,88.42,40.0,5.7539,,0.01,,4.0,2013-03-16 21:00:00+00:00
EWR,2013,3,17,8,30.92,15.98,53.44,310.0,9.20624,19.56326,0.0,1020.1,10.0,2013-03-17 12:00:00+00:00
EWR,2013,3,17,21,35.96,12.02,36.71,310.0,9.20624,,0.0,1025.2,10.0,2013-03-18 01:00:00+00:00
EWR,2013,3,18,6,26.96,10.04,48.36,20.0,10.35702,,0.0,1029.3,10.0,2013-03-18 10:00:00+00:00
EWR,2013,3,18,10,33.98,15.08,45.43,70.0,9.20624,,0.0,1028.8,10.0,2013-03-18 14:00:00+00:00
EWR,2013,3,18,16,33.08,26.96,77.96,60.0,9.20624,,0.03,1023.5,2.0,2013-03-18 20:00:00+00:00
EWR,2013,3,18,18,32.0,30.92,95.73,80.0,13.809359999999998,,0.04,,2.0,2013-03-18 22:00:00+00:00
EWR,2013,3,19,6,35.96,33.98,92.43,30.0,10.35702,,0.0,1008.7,9.0,2013-03-19 10:00:00+00:00
EWR,2013,3,19,13,39.92,35.6,86.79,350.0,11.5078,,0.0,,10.0,2013-03-19 17:00:00+00:00
EWR,2013,3,19,16,46.04,33.08,60.35,280.0,13.809359999999998,21.86482,0.0,1006.3,10.0,2013-03-19 20:00:00+00:00
EWR,2013,3,19,18,46.94,30.92,53.47,,4.60312,,0.0,1006.1,10.0,2013-03-19 22:00:00+00:00
EWR,2013,3,20,14,46.94,17.06,29.94,250.0,20.71404,29.92028,0.0,1009.1,10.0,2013-03-20 18:00:00+00:00
EWR,2013,3,20,16,44.96,15.98,30.79,280.0,12.65858,,0.0,1008.7,10.0,2013-03-20 20:00:00+00:00
EWR,2013,3,20,20,42.08,15.98,34.38,320.0,5.7539,,0.0,1009.3,10.0,2013-03-21 00:00:00+00:00
EWR,2013,3,21,6,33.08,21.02,60.81,350.0,11.5078,,0.0,1008.8,10.0,2013-03-21 10:00:00+00:00
EWR,2013,3,21,10,33.98,12.02,39.72,350.0,10.35702,,0.0,1007.7,10.0,2013-03-21 14:00:00+00:00
